episode,reward,length,x_pos,epsilon,loss,flag_reached,time
322,-33.30,33,299,0.2319,0.560467,0,772.1
323,-74.50,369,1231,0.2283,0.326451,0,775.9
324,-35.60,145,722,0.2268,0.334359,0,777.5
325,-37.60,43,294,0.2264,0.437878,0,777.9
326,5.00,222,1435,0.2242,0.298265,0,780.2
327,-94.00,315,818,0.2212,0.228292,0,783.4
328,-46.00,342,1406,0.2178,0.297254,0,786.8
329,-34.30,38,309,0.2174,0.270901,0,787.2
330,-19.80,280,1422,0.2147,0.354209,0,790.0
331,-21.00,134,824,0.2134,0.408621,0,791.4
332,-37.50,43,295,0.2130,0.345414,0,791.9
333,-63.00,388,1421,0.2091,0.361511,0,795.9
334,-37.70,41,285,0.2087,0.336028,0,796.3
335,-32.70,34,309,0.2084,0.457588,0,796.6
336,-24.30,142,823,0.2070,0.427294,0,798.1
337,-22.50,103,685,0.2060,0.326441,0,799.1
338,-33.70,140,722,0.2046,0.292015,0,800.6
339,-29.80,28,312,0.2044,0.365447,0,800.8
340,-35.40,39,300,0.2040,0.348255,0,801.2
341,-4.00,243,1431,0.2016,0.424539,0,803.7
342,-37.00,42,296,0.2012,0.416200,0,804.1
343,-85.40,313,899,0.1981,0.338774,0,807.4
344,-30.60,30,312,0.1978,0.417021,0,807.7
345,-10.30,71,679,0.1971,0.441492,0,808.4
346,-38.40,152,722,0.1956,0.361104,0,810.1
347,-3.90,239,1414,0.1933,0.412252,0,812.6
348,-30.80,31,316,0.1930,0.534713,0,812.9
349,-92.90,466,1434,0.1884,0.371470,0,817.6
350,-29.40,173,898,0.1867,0.320695,0,819.4
351,-25.10,219,1123,0.1846,0.373549,0,821.6
352,-21.20,286,1429,0.1818,0.332622,0,824.6
353,-27.00,145,810,0.1804,0.329609,0,826.2
354,-7.80,248,1412,0.1779,0.310476,0,828.7
355,-11.80,187,1127,0.1761,0.341971,0,830.6
356,-23.30,149,899,0.1746,0.386133,0,832.1
357,-49.10,282,1136,0.1719,0.385695,0,835.0
358,-5.50,171,1126,0.1702,0.328457,0,836.7
359,-36.50,251,1138,0.1677,0.360058,0,839.2
360,-39.40,154,722,0.1662,0.347272,0,840.8
361,-71.40,278,898,0.1635,0.337113,0,843.7
362,19.60,208,1528,0.1615,0.369150,0,845.8
363,-29.40,27,314,0.1612,0.239938,0,846.1
364,-34.50,37,303,0.1608,0.347937,0,846.5
