episode,reward,length,x_pos,policy_loss,value_loss,entropy,flag_reached,time
332,-32.60,181,898,0,0,0,0,830.4
333,-31.40,134,722,0,0,0,0,831.6
334,-33.70,34,299,0,0,0,0,831.8
335,-272.30,769,853,0,0,0,0,838.7
336,-249.60,782,1129,0,0,0,0,845.7
337,-30.50,29,311,0,0,0,0,845.9
338,-9.60,80,722,0,0,0,0,846.9
339,-34.40,142,722,0,0,0,0,848.2
340,-28.10,116,681,0,0,0,0,849.2
341,-30.80,30,310,0,0,0,0,849.5
342,-30.60,29,310,0,0,0,0,849.7
343,-31.10,32,315,0,0,0,0,850.1
344,-12.50,75,675,0,0,0,0,850.7
345,-21.60,96,668,0,0,0,0,851.6
346,-210.30,757,1422,0,0,0,0,858.4
347,-87.20,274,722,0,0,0,0,860.9
348,-525.80,1472,1127,0,0,0,0,873.9
349,-31.20,118,660,0,0,0,0,874.9
350,-38.80,197,899,0,0,0,0,876.6
351,-29.50,27,311,0,0,0,0,876.8
352,-67.40,324,1125,0,0,0,0,879.8
353,-13.10,80,689,0,0,0,0,880.4
354,-11.20,74,684,0,0,0,0,881.1
355,-9.90,184,1137,0,0,0,0,882.6
356,-20.20,150,899,0,0,0,0,884.1
357,-10.00,252,1408,0,0,0,0,886.3
358,-29.20,27,314,0,0,0,0,886.5
359,-11.70,186,1124,0,0,0,0,888.1
360,-26.20,165,898,0,0,0,0,889.7
361,-1.90,161,1124,0,0,0,0,891.1
362,14.00,193,1410,0,0,0,0,892.6
363,-0.50,185,1233,0,0,0,0,894.4
364,-19.10,90,669,0,0,0,0,895.1
365,-9.20,73,698,0,0,0,0,895.8
366,-22.50,97,663,0,0,0,0,896.7
367,-13.30,192,1132,0,0,0,0,898.3
368,-5.10,172,1136,0,0,0,0,900.0
369,32.20,213,1674,0,0,0,0,901.7
370,16.80,207,1496,0,0,0,0,903.6
371,-31.60,30,302,0,0,0,0,903.8
372,-29.10,27,315,0,0,0,0,904.0
373,-12.40,87,722,0,0,0,0,904.8
374,-30.10,28,311,0,0,0,0,905.0
375,-11.40,74,682,0,0,0,0,905.8
376,-29.50,27,313,0,0,0,0,906.0
377,-31.40,30,304,0,0,0,0,906.2
378,-43.80,49,256,0,0,0,0,906.7
379,-17.60,144,898,0,0,0,0,908.0
380,-38.20,151,722,0,0,0,0,909.3
381,-19.40,97,694,0,0,0,0,910.2
382,23.50,197,1523,0,0,0,0,911.8
383,-30.00,28,310,0,0,0,0,912.2
384,-29.10,27,315,0,0,0,0,912.4
385,-27.00,106,652,0,0,0,0,913.4
386,-13.40,86,708,0,0,0,0,914.0
387,-32.30,31,301,0,0,0,0,914.2
388,-34.60,34,290,0,0,0,0,914.7
389,-9.20,180,1127,0,0,0,0,916.2
390,-12.80,80,692,0,0,0,0,917.0
391,-32.60,137,722,0,0,0,0,918.2
392,28.00,162,1426,0,0,0,0,919.6
393,-5.70,62,689,0,0,0,0,920.1
394,-30.10,28,309,0,0,0,0,920.3
395,-22.20,101,680,0,0,0,0,921.2
396,-30.30,29,313,0,0,0,0,921.4
397,-14.30,290,1517,0,0,0,0,924.0
398,1.10,252,1517,0,0,0,0,926.3
399,-33.10,33,301,0,0,0,0,926.5
400,-7.80,75,724,0,0,0,0,927.4
401,7.90,166,1243,0,0,0,0,928.8
402,-32.70,33,303,0,0,0,0,929.1
403,20.20,179,1417,0,0,0,0,930.9
404,-29.10,27,315,0,0,0,0,931.1
405,-30.00,29,314,0,0,0,0,931.3
406,-31.30,31,309,0,0,0,0,931.7
407,-30.50,30,313,0,0,0,0,931.9
408,-33.20,33,300,0,0,0,0,932.2
409,-29.30,27,313,0,0,0,0,932.4
410,-10.30,107,823,0,0,0,0,933.4
411,-16.00,87,688,0,0,0,0,934.4
412,-34.60,36,296,0,0,0,0,934.7
413,32.60,175,1524,0,0,0,0,936.4
414,-29.90,27,309,0,0,0,0,936.9
415,-34.70,36,295,0,0,0,0,937.2
416,4.00,172,1226,0,0,0,0,938.9
417,-29.10,27,315,0,0,0,0,939.1
