episode,reward,length,x_pos,epsilon,loss,flag_reached,time
398,-12.00,75,680,0.0200,1.246369,0,1738.8
399,35.20,146,1435,0.0200,1.160954,0,1741.8
400,-15.30,138,898,0.0200,1.166246,0,1745.1
401,-39.80,42,305,0.0200,1.099295,0,1746.1
402,-14.40,81,680,0.0200,1.122932,0,1747.5
403,49.60,170,1676,0.0200,1.111839,0,1750.3
404,24.20,200,1540,0.0200,1.146923,0,1754.7
405,-10.10,75,697,0.0200,0.981587,0,1756.1
406,14.00,191,1402,0.0200,1.066443,0,1759.8
407,41.10,187,1657,0.0200,1.166864,0,1762.9
408,-8.00,73,710,0.0200,0.944573,0,1764.2
409,1.30,153,1125,0.0200,1.107705,0,1766.9
410,-6.10,60,679,0.0200,1.079817,0,1768.4
411,-29.30,27,313,0.0200,1.355296,0,1769.0
412,49.10,198,1783,0.0200,1.125900,0,1772.4
413,-30.10,28,311,0.0200,1.505857,0,1772.9
414,16.00,122,1147,0.0200,1.057150,0,1775.1
415,22.60,175,1425,0.0200,1.208779,0,1778.0
416,47.30,259,2006,0.0200,1.127302,0,1782.7
417,86.80,277,2473,0.0200,1.085087,0,1788.2
418,-5.60,61,686,0.0200,1.180878,0,1789.2
419,50.40,196,1786,0.0200,1.081790,0,1792.7
420,55.50,184,1791,0.0200,1.077255,0,1796.4
421,7.10,160,1304,0.0200,1.186963,0,1800.3
422,-629.30,2005,2227,0.0200,1.072577,0,1835.7
423,5.10,367,2017,0.0200,1.050072,0,1842.1
424,7.10,142,1136,0.0200,1.070309,0,1845.3
425,543.50,682,3161,0.0200,1.021408,1,1856.9
426,94.40,257,2470,0.0200,0.986995,0,1862.0
427,-17.70,274,1419,0.0200,1.069752,0,1866.7
428,56.00,184,1794,0.0200,1.185364,0,1869.8
429,36.80,161,1510,0.0200,1.144589,0,1872.7
430,-32.90,32,297,0.0200,1.229940,0,1874.2
431,19.00,274,1786,0.0200,1.040287,0,1878.9
432,13.50,124,1129,0.0200,0.926430,0,1881.8
433,-7.80,345,1928,0.0200,1.034300,0,1889.3
434,19.20,110,1131,0.0200,0.852660,0,1891.1
435,63.10,219,2005,0.0200,0.982623,0,1894.8
436,38.20,138,1433,0.0200,0.898432,0,1897.3
437,61.90,214,1975,0.0200,1.012778,0,1901.0
438,-13.40,89,722,0.0200,0.936924,0,1902.6
439,-671.30,2005,1930,0.0200,1.169660,0,1938.7
440,72.70,198,2017,0.0200,1.036800,0,1942.0
441,-31.20,30,306,0.0200,1.212094,0,1942.5
442,-11.10,74,683,0.0200,1.250468,0,1943.8
443,-0.30,157,1124,0.0200,1.055507,0,1946.4
444,2.80,150,1127,0.0200,1.055873,0,1950.7
445,36.50,142,1433,0.0200,1.066299,0,1953.5
446,24.40,267,1914,0.0200,1.085235,0,1958.0
447,79.70,294,2472,0.0200,1.104085,0,1964.1
448,-11.40,74,680,0.0200,1.091615,0,1965.9
449,643.00,433,3161,0.0200,1.091676,1,1974.8
450,67.10,199,1967,0.0200,1.113985,0,1978.9
451,-11.80,78,692,0.0200,1.013506,0,1980.3
452,4.20,147,1130,0.0200,1.161275,0,1982.7
453,46.70,173,1659,0.0200,1.035379,0,1985.5
454,17.50,114,1130,0.0200,1.092843,0,1987.5
455,24.60,268,1920,0.0200,1.077884,0,1991.7
456,37.20,140,1432,0.0200,1.172232,0,1995.0
457,-108.60,454,1230,0.0200,1.005314,0,2002.9
458,-12.00,82,706,0.0200,1.063474,0,2004.2
459,-90.40,326,898,0.0200,0.994780,0,2010.3
460,11.20,128,1123,0.0200,1.220984,0,2012.3
461,58.00,235,2020,0.0200,1.065862,0,2015.9
462,69.50,208,2025,0.0200,1.082410,0,2019.6
463,-7.10,247,1414,0.0200,1.066936,0,2025.3
464,62.80,173,1818,0.0200,0.994598,0,2029.9
465,-13.80,83,692,0.0200,1.102841,0,2031.3
466,58.60,175,1784,0.0200,1.044239,0,2035.1
467,-5.70,60,683,0.0200,1.048895,0,2036.2
468,59.10,180,1811,0.0200,1.164514,0,2041.1
469,-8.20,70,698,0.0200,1.045513,0,2042.3
470,25.80,164,1413,0.0200,0.969220,0,2045.4
471,-11.20,74,682,0.0200,0.959079,0,2047.0
472,-20.00,142,868,0.0200,1.024783,0,2049.6
473,55.40,187,1800,0.0200,1.188516,0,2053.6
474,-8.00,67,686,0.0200,1.141210,0,2055.4
475,8.20,137,1129,0.0200,0.985876,0,2058.2
476,50.90,195,1787,0.0200,1.226348,0,2062.5
477,78.40,185,2022,0.0200,1.124638,0,2065.8
478,69.70,205,2017,0.0200,1.079348,0,2070.7
479,33.30,238,1783,0.0200,0.996609,0,2074.7
480,54.40,188,1794,0.0200,1.007983,0,2078.4
481,58.70,175,1787,0.0200,1.179110,0,2081.4
482,28.00,257,1915,0.0200,1.049720,0,2087.8
483,22.50,173,1415,0.0200,1.067196,0,2090.8
484,28.60,157,1414,0.0200,0.976675,0,2094.3
485,64.70,333,2476,0.0200,1.067933,0,2101.8
486,72.50,184,1961,0.0200,1.277590,0,2105.3
487,49.10,170,1671,0.0200,1.283776,0,2108.8
488,63.10,205,1951,0.0200,1.275274,0,2112.2
489,-107.40,761,2468,0.0200,1.221434,0,2127.2
490,50.90,194,1785,0.0200,1.209988,0,2132.0
491,28.10,260,1924,0.0200,1.235346,0,2137.2
492,41.20,157,1538,0.0200,1.167492,0,2140.0
493,-8.20,67,686,0.0200,1.150051,0,2141.2
494,60.90,213,1961,0.0200,1.092954,0,2147.2
495,41.10,221,1793,0.0200,1.131237,0,2151.3
496,48.20,174,1676,0.0200,1.206403,0,2155.0
497,36.90,265,1930,0.0200,1.171081,0,2161.1
498,54.20,186,1786,0.0200,1.067865,0,2165.3
499,0.30,159,1137,0.0200,1.107362,0,2168.7
500,30.20,154,1417,0.0200,1.116363,0,2171.8
501,33.90,275,1937,0.0200,1.054848,0,2177.6
502,45.40,180,1674,0.0200,1.098842,0,2181.4
